date,open,close,high,low,volume,code
2019-07-15,9181.03,9309.42,9358.08,9066.71,241649216.0,399001
2019-07-16,9294.56,9283.41,9324.91,9255.43,211312143.0,399001
2019-07-17,9274.69,9302.0,9354.81,9242.25,235067706.0,399001
2019-07-18,9258.12,9154.65,9258.12,9153.01,222426906.0,399001
2019-07-19,9198.82,9228.55,9298.21,9198.82,200474339.0,399001
2019-07-22,9247.28,9122.64,9254.65,9073.49,218545396.0,399001
2019-07-23,9125.46,9175.83,9175.83,9104.76,168118777.0,399001
2019-07-24,9203.23,9266.3,9312.67,9203.23,213978041.0,399001
2019-07-25,9265.31,9344.82,9344.82,9247.97,212853691.0,399001
2019-07-26,9310.65,9349.0,9363.27,9294.61,185654473.0,399001
2019-07-29,9350.21,9354.28,9376.42,9310.63,186596814.0,399001
2019-07-30,9362.23,9399.1,9469.08,9362.23,206900141.0,399001
2019-07-31,9374.44,9326.61,9374.44,9318.59,185301240.0,399001
2019-08-01,9278.83,9268.05,9327.94,9223.31,189132525.0,399001
2019-08-02,9049.35,9136.46,9150.73,9020.26,228554425.0,399001
2019-08-05,9093.07,8984.73,9168.1,8984.73,203852033.0,399001
2019-08-06,8805.16,8859.47,8898.38,8669.9,274305593.0,399001
2019-08-07,8919.89,8814.74,8933.99,8814.74,189083931.0,399001
2019-08-08,8870.18,8919.28,8936.49,8859.48,176794343.0,399001
2019-08-09,8963.47,8795.18,8970.51,8780.72,195121488.0,399001
2019-08-12,8816.89,8978.52,8978.52,8798.5,183867356.0,399001
2019-08-13,8910.15,8902.63,8960.02,8869.46,170587307.0,399001
2019-08-14,9034.05,8966.47,9060.4,8956.08,207501725.0,399001
2019-08-15,8779.53,9009.68,9011.77,8758.04,212807484.0,399001
2019-08-16,9007.15,9060.92,9136.21,8995.57,220697415.0,399001
2019-08-19,9165.8,9328.97,9328.97,9141.89,299663788.0,399001
2019-08-20,9340.66,9328.73,9389.39,9301.92,293736361.0,399001
2019-08-21,9304.52,9322.75,9361.74,9287.31,249206921.0,399001
2019-08-22,9350.65,9350.56,9363.79,9282.76,257246169.0,399001
2019-08-23,9357.0,9362.55,9397.76,9311.26,262062843.0,399001
2019-08-26,9181.71,9270.39,9298.1,9173.01,257433068.0,399001
2019-08-27,9333.1,9443.18,9517.65,9333.1,311957622.0,399001
2019-08-28,9449.4,9414.0,9453.75,9375.57,285827444.0,399001
2019-08-29,9429.0,9398.47,9440.67,9363.15,272537265.0,399001
2019-08-30,9458.39,9365.68,9492.04,9310.11,312542620.0,399001
2019-09-02,9393.03,9569.47,9586.52,9389.48,301362492.0,399001
2019-09-03,9591.42,9633.69,9633.69,9547.76,310115994.0,399001
2019-09-04,9612.62,9700.32,9700.32,9590.98,330543241.0,399001
2019-09-05,9752.34,9783.5,9900.76,9751.95,430745654.0,399001
2019-09-06,9829.97,9823.42,9837.23,9742.27,331457385.0,399001
2019-09-09,9907.13,10001.93,10001.93,9853.69,387165177.0,399001
2019-09-10,10005.81,9964.93,10005.81,9903.42,381885526.0,399001
2019-09-11,9985.11,9853.72,10000.25,9835.97,349035650.0,399001
2019-09-12,9886.25,9919.8,9941.17,9837.27,288583120.0,399001
2019-09-16,9952.33,9918.09,9962.15,9877.11,317119173.0,399001
2019-09-17,9890.58,9722.8,9890.58,9684.15,327388465.0,399001
2019-09-18,9747.98,9753.31,9785.62,9701.64,255903225.0,399001
2019-09-19,9786.4,9852.2,9852.2,9733.97,265117133.0,399001
2019-09-20,9873.94,9881.25,9903.69,9832.39,281060354.0,399001
2019-09-23,9853.47,9781.14,9853.47,9703.66,271171002.0,399001
2019-09-24,9783.39,9811.38,9896.18,9761.03,284060679.0,399001
2019-09-25,9768.38,9671.06,9768.38,9656.05,283852938.0,399001
2019-09-26,9698.28,9464.84,9707.92,9464.84,287353643.0,399001
2019-09-27,9470.54,9548.96,9574.5,9467.15,214878504.0,399001
2019-09-30,9544.02,9446.24,9581.64,9446.04,184042919.0,399001
2019-10-08,9474.57,9474.75,9556.96,9468.74,188610558.0,399001
2019-10-09,9443.45,9506.56,9507.04,9380.57,185682673.0,399001
2019-10-10,9504.03,9638.1,9643.52,9480.17,222069973.0,399001
2019-10-11,9656.98,9666.58,9704.68,9583.52,243533437.0,399001
2019-10-14,9753.58,9786.64,9840.59,9725.68,285360084.0,399001
2019-10-15,9759.95,9671.73,9759.95,9658.51,266349452.0,399001
2019-10-16,9678.31,9642.06,9722.12,9635.45,233148157.0,399001
2019-10-17,9657.09,9645.39,9670.7,9617.01,206596230.0,399001
2019-10-18,9665.81,9533.5,9706.38,9516.75,238042710.0,399001
2019-10-21,9533.09,9553.57,9560.98,9476.46,209913943.0,399001
2019-10-22,9582.11,9642.09,9642.93,9558.36,207552391.0,399001
2019-10-23,9641.89,9567.75,9652.07,9547.5,215975821.0,399001
2019-10-24,9570.33,9555.76,9598.33,9495.0,207222324.0,399001
2019-10-25,9562.3,9660.44,9665.6,9509.34,224961819.0,399001
2019-10-28,9721.64,9801.87,9802.15,9704.53,299013167.0,399001
2019-10-29,9812.48,9746.03,9818.74,9746.03,321608662.0,399001
2019-10-30,9707.18,9681.54,9726.95,9647.0,271564715.0,399001
2019-10-31,9709.1,9635.33,9720.97,9626.93,242663376.0,399001
2019-11-01,9621.89,9802.33,9814.67,9604.31,225897374.0,399001
2019-11-04,9828.6,9868.13,9908.2,9828.6,239041485.0,399001
2019-11-05,9885.02,9938.61,9982.34,9847.2,238629432.0,399001
2019-11-06,9947.31,9860.97,9947.31,9829.75,232530713.0,399001
2019-11-07,9849.96,9917.49,9939.53,9835.89,216641725.0,399001
2019-11-08,9985.2,9895.34,10008.51,9891.0,234124254.0,399001
2019-11-11,9821.41,9680.57,9821.41,9664.06,231547111.0,399001
2019-11-12,9675.56,9670.14,9699.42,9570.44,205975186.0,399001
2019-11-13,9678.65,9687.85,9702.51,9622.31,183988235.0,399001
2019-11-14,9689.93,9746.56,9768.67,9677.76,205461472.0,399001
2019-11-15,9741.93,9647.99,9777.69,9647.99,213505827.0,399001
2019-11-18,9635.81,9715.27,9725.78,9624.95,191948681.0,399001
2019-11-19,9721.01,9889.75,9889.75,9711.29,226001320.0,399001
2019-11-20,9885.9,9809.05,9908.62,9796.95,231112732.0,399001
2019-11-21,9772.03,9774.44,9818.49,9733.44,202265375.0,399001
2019-11-22,9794.32,9626.9,9875.71,9573.47,250407622.0,399001
2019-11-25,9626.41,9626.36,9643.23,9515.33,225973156.0,399001
2019-11-26,9662.41,9677.23,9698.6,9609.73,217307702.0,399001
2019-11-27,9643.11,9648.39,9694.22,9589.21,202544270.0,399001
2019-11-28,9650.27,9622.14,9679.96,9594.37,182766704.0,399001
2019-11-29,9614.71,9582.16,9633.14,9490.85,184566861.0,399001
2019-12-02,9603.02,9605.19,9647.95,9582.32,185451453.0,399001
2019-12-03,9585.75,9657.65,9657.65,9531.25,193114391.0,399001
2019-12-04,9624.19,9687.95,9703.4,9614.04,202086392.0,399001
2019-12-05,9719.3,9799.07,9817.21,9703.91,229525019.0,399001
2019-12-06,9804.04,9878.62,9878.62,9791.56,228380357.0,399001
2019-12-09,9908.97,9876.27,9917.61,9853.2,254862722.0,399001
2019-12-10,9850.04,9915.87,9915.87,9826.83,259022858.0,399001
2019-12-11,9905.91,9852.71,9921.65,9829.11,269475437.0,399001
2019-12-12,9862.43,9836.23,9887.56,9824.42,255654561.0,399001
2019-12-13,9923.79,10004.62,10014.21,9907.76,294009384.0,399001
2019-12-16,10040.26,10158.24,10158.24,10015.45,352271899.0,399001
2019-12-17,10157.43,10306.03,10350.65,10148.69,424807270.0,399001
2019-12-18,10299.05,10294.66,10365.16,10266.64,379783107.0,399001
2019-12-19,10298.5,10296.29,10316.77,10254.95,347586101.0,399001
2019-12-20,10305.1,10229.49,10343.07,10229.1,345290001.0,399001
2019-12-23,10202.23,10056.21,10248.8,10050.41,308439136.0,399001
2019-12-24,10080.37,10189.29,10190.04,10065.55,264154341.0,399001
2019-12-25,10176.72,10229.58,10255.2,10170.21,290734473.0,399001
2019-12-26,10239.76,10303.71,10303.71,10221.34,292929051.0,399001
2019-12-27,10326.52,10233.77,10377.94,10226.62,351676420.0,399001
2019-12-30,10203.82,10365.96,10365.96,10133.88,322844925.0,399001
2019-12-31,10360.78,10430.77,10433.29,10352.89,282427717.0,399001
2020-01-02,10509.12,10638.82,10663.55,10479.77,392795173.0,399001
2020-01-03,10666.66,10656.41,10689.59,10594.36,373603938.0,399001
2020-01-06,10599.41,10698.27,10799.58,10577.78,438998251.0,399001
2020-01-07,10725.18,10829.04,10829.04,10723.86,414499627.0,399001
2020-01-08,10776.71,10706.87,10851.28,10681.02,462506909.0,399001
2020-01-09,10807.04,10898.17,10899.48,10807.04,396591114.0,399001
2020-01-10,10927.98,10879.84,10933.81,10833.52,355689713.0,399001
2020-01-13,10894.0,11040.2,11040.2,10851.72,345273662.0,399001
2020-01-14,11074.89,10988.77,11086.81,10983.42,377298121.0,399001
2020-01-15,10978.28,10972.32,11001.81,10882.79,331233272.0,399001
2020-01-16,10986.65,10967.44,11008.21,10934.72,317968373.0,399001
2020-01-17,11001.68,10954.39,11045.25,10927.84,304820102.0,399001
2020-01-20,10981.5,11115.88,11115.88,10936.8,330625512.0,399001
2020-01-21,11077.66,10953.41,11078.04,10948.58,338540804.0,399001
2020-01-22,10896.55,11072.06,11105.69,10761.68,352090081.0,399001
2020-01-23,10947.86,10681.9,11026.0,10572.26,402894259.0,399001
2020-02-03,9706.58,9779.67,9934.35,9706.58,195449921.0,399001
2020-02-04,9578.87,10089.67,10095.69,9578.87,511560080.0,399001
2020-02-05,10159.55,10305.5,10445.09,10148.24,454671825.0,399001
